3,2,2004-12-03 20:27,CENTENNIAL,CCF/UNIT1B,PRES FACIL,
3,2,2004-10-09 15:27,CENTENNIAL,CCF/UNIT1B,PRES FACIL,
3,2,2004-07-28 08:18,CENTENNIAL,CCF/UNIT1B,PRES FACIL,
3,2,2004-07-27 18:51,CENTENNIAL,CCF/UNIT1B,PRES FACIL,
3,2,2003-08-11 18:13,C.S.P.,CSP/UNIT D,PRES FACIL,
3,2,2003-08-11 12:51,STERLING,SCF/INTAKE,PRES FACIL,
3,2,2003-06-26 14:13,STERLING,SCF/UNIT05,PRES FACIL,
3,2,2003-04-01 11:40,STERLING,SCF/UNIT02,PRES FACIL,
3,2,2003-04-01 11:39,STERLING,SCF/UNIT02,PRES FACIL,
3,2,2003-03-31 14:39,STERLING,SCF/UNIT01,PRES FACIL,
3,2,2003-03-28 09:56,STERLING,SCF/UNIT01,PRES FACIL,
3,2,2003-03-23 23:54,STERLING,SCF/RH,PRES FACIL,
3,2,2003-03-13 16:05,STERLING,SCF/RH,PRES FACIL,
3,2,2002-12-17 09:58,STERLING,SCF/UNIT02,PRES FACIL,
3,2,2002-12-13 09:22,STERLING,SCF/UNIT01,PRES FACIL,
3,2,2002-12-10 11:51,STERLING,SCF/RH,PRES FACIL,
3,2,2002-12-03 10:55,STERLING,SCF/RH,PRES FACIL,
3,2,2002-06-20 09:46,STERLING,SCF/UNIT02,PRES FACIL,
3,2,2002-06-13 15:33,STERLING,SCF/UNIT01,PRES FACIL,
3,2,2002-06-13 12:56,STERLING,SCF/INTAKE,PRES FACIL,
3,2,2002-06-13 07:02,DRDC,DRDC/HOLD,PRES FACIL,
3,2,2002-06-12 14:31,DRDC,DRDC/UNIT3,PRES FACIL,
3,2,2002-06-12 12:06,DRDC,DRDC/INTAK,PRES FACIL,
3,2,2002-05-10 12:35,C.S.P.,CSP/UNIT D,PRES FACIL,
3,2,2002-05-10 08:21,C.S.P.,CSP/UNIT D,CHAFFEE/SH,
3,2,2002-04-05 17:30,C.S.P.,CSP/UNIT D,PRES FACIL,
3,2,2002-04-05 11:38,C.S.P.,CSP/UNIT D,CHAFFEE/SH,
3,2,2002-02-20 15:58,C.S.P.,CSP/UNIT D,PRES FACIL,
3,2,2002-02-20 12:33,C.S.P.,CSP/UNIT D,CHAFFEE/SH,
3,2,2002-01-22 18:41,C.S.P.,CSP/UNIT D,PRES FACIL,
